Cuenta,Código QR,OLT,FSP,Latitud,Longitud,Ubicacion,Puerto N2,Estatus  
0100623711,TP631963,SAN_CRISTOBAL_DF,0/3/15,19.630439,-99.051766,Poste,5,ACTIVA
0100623898,TP794446,SAN_CRISTOBAL_DF,0/5/1,19.616787,-99.04436,Poste,6,ACTIVA
0100623950,TP579736,SAN_CRISTOBAL_DF,0/5/7,19.625615,-99.064328,Poste,10,ACTIVA
0100624021,TP414403,SAN_CRISTOBAL_DF,0/1/3,19.632463,-99.064484,Poste,16,ACTIVA
0100624053,TP794449,SAN_CRISTOBAL_DF,0/5/2,19.614091,-99.047186,Poste,4,ACTIVA
0100624106,TP792603,SAN_CRISTOBAL_DF,0/12/7,19.615868,-99.04489,Poste,5,ACTIVA
0100624135,TP652733,SAN_CRISTOBAL_DF,0/4/15,19.624337,-99.051953,Poste,5,ACTIVA
0100624875,TP794164,SAN_CRISTOBAL_DF,0/5/2,19.613662,-99.047641,Poste,8,ACTIVA
0100624940,TP652992,SAN_CRISTOBAL_DF,0/4/0,19.630887,-99.054547,Poste,6,ACTIVA
0100625005,TP792603,SAN_CRISTOBAL_DF,0/12/7,19.615868,-99.04489,Poste,7,ACTIVA
0100625138,TP652846,SAN_CRISTOBAL_DF,0/4/2,19.636836,-99.059202,Poste,4,ACTIVA
0100625179,TP652422,SAN_CRISTOBAL_DF,0/8/4,19.613213,-99.059922,Poste,16,ACTIVA
0100625291,TP652312,SAN_CRISTOBAL_DF,0/5/0,19.616438,-99.048313,Poste,10,ACTIVA
0100625326,TP652754,SAN_CRISTOBAL_DF,0/4/6,19.633362,-99.063734,Poste,11,ACTIVA
0100625347,TP579037,SAN_CRISTOBAL_DF,0/4/11,19.630213,-99.062078,Poste,13,ACTIVA
